target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
edap.epa.gov,epa.gov,.gov,True,https://edap.epa.gov/internal_forms_authentication/?targetId=829f4ea9-0199-44dc-8500-606f624ede88,epa.gov,gov,edap.epa.gov,True,200.0,text/html,True,True,Environmental Protection Agency,Environmental Protection Agency,Executive,False,"[""dap"",""pulse"",""omb_idea""]",False,2024-06-22T04:26:28.347Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,"[""\""password\"""",""type=\""password\""""]",False,,False,,,0.0,,True,0.0,1107.2,,,True,True,Qlik Sense login page,,,,,,,,,,,en,,False,False,False,https://edap.epa.gov/robots.txt,False,404.0,text/html,,,,False,False,https://edap.epa.gov/sitemap.xml,False,400.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
dwneeds2011.epa.gov,epa.gov,.gov,,,,,,,,,,,Environmental Protection Agency,Environmental Protection Agency,Executive,,"[""pulse""]",False,2024-06-22T02:00:01.578Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inspector.epa.gov,epa.gov,.gov,True,https://wamssoprd.epa.gov/oam/server/obrareq.cgi?encquery%3DtZTEgTZS8L4WYqp08kpCujE5Jpx0ciqu9YKNN1orazTrnO0lcPIbCm2CICBXyeDOPA0LAgoSPphLjanV%2BrIpJNC%2FaEHQF80DU7jOFbovqmRBH9rAh8IGHYGxh%2FFQzehO8NvcbPOiwuUjgS0WiDZ0AU%2F%2Fa0JFRP5G2rKO90fiytyZojllzY9YteWv8T2DFz1k5Xm0OjLs2%2BK1cwP39PsYl2%2BR27b3mqCTpVhkeBPzb3NIDBJKKvus99sSPwDIrkG%2BeJ3nKKh%2Bo2hSrbRh6QXEyA%3D%3D%20agentid%3DWebgateEPADomain%20ver%3D1%20crmethod%3D2%26cksum%3D201db32a899a28a81c4a44da648e827f61ec4c03,epa.gov,gov,wamssoprd.epa.gov,True,200.0,text/html,True,False,Environmental Protection Agency,Environmental Protection Agency,Executive,False,"[""omb_idea"",""mil-sites2""]",False,2024-06-22T03:54:37.882Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,,,,,False,,True,"{""agency"":""EPA""}","[""dap.digitalgov.gov"",""script.crazyegg.com"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".epa.gov"","".wamssoprd.epa.gov"",""wamssoprd.epa.gov""]",True,0.0067633039550781,602.4,"[""privacy""]",,,,EPA Login,,,,,,,,,,,en,,True,False,True,https://wamssoprd.epa.gov/oam/server/obrareq.cgi?encquery%3DmDzMa%2FA3XF1K06aotYSXvLujKM0sRmuN3ZCNrAcGxbv%2Bmy3%2BQLBoBWCDt00xP8N7dPO9wqqcUd6TvUPzZL8ATPe%2FIbrb9jEu9lSFvtEKknLXtN4PFPGmddBvlm%2BMUerFfLWgqGjAhDu2hYkmjaN6%2BROTEGcFrrIfOwa%2F8AEIdrKQ4hF1jy9OI9SDJHlHKXAiZ3uR86Gbly9YY%2Fkq0nM6RRQfV7HCJ0spxOGTaV9r1IC9lmXwjbbCZiMFg9d17MSTdlsNNs4cogQX60tKrTsAOBZ3G%2FPqye4C27eyckKuupw%3D%20agentid%3DWebgateEPADomain%20ver%3D1%20crmethod%3D2%26cksum%3Dd00ab8696246046cef77570c40e2073fddc2ee71,True,200.0,text/html,,,,False,True,https://wamssoprd.epa.gov/oam/server/obrareq.cgi?encquery%3DLm4suCKwUhwuWiEm2WvGvb3H8RXW8OWY1kDfN6HtRdev2tGQGRdE8IcI%2Bi6DJhq9hhEtAXCWJYtzPJaGnY5XrxII8%2BjJj%2FFkDVGDneVtWklN0YGjKREppiojf4VFJHbtkfNDTV9Uv6lCb777VmuQlI0f1h0xBiG9YudSINsaq5Yzt6BikoqMgARw2nUwYmzZ68TFfYF9wOwGGA1%2BQcSz0fwG9%2BCM4O1eGK0GgltszaCkHM0jhdrYu0P7LnYlPTFwIZcedBhw6hxf8IA6HjOVENAMAehc%2BnMo%2BngjTpvf5sA%3D%20agentid%3DWebgateEPADomain%20ver%3D1%20crmethod%3D2%26cksum%3D1d0213b7b5cc1efb26c9e14dc57e4c10f2fb3447,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,"[""usa-button"",""usa-content"",""usa-footer"",""usa-grid-container"",""usa-nav"",""usa-overlay""]",20.0,0.0,0.0,,0.0,20.0
owsrfprod.epa.gov,epa.gov,.gov,,,,,,,,,,,Environmental Protection Agency,Environmental Protection Agency,Executive,,"[""pulse""]",False,2024-06-22T02:19:30.045Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auk.epa.gov,epa.gov,.gov,,,,,,,,,,,Environmental Protection Agency,Environmental Protection Agency,Executive,,"[""pulse""]",False,2024-06-22T04:20:15.612Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,"["".epa.gov"","".wamssoprd.epa.gov"",""wamssoprd.epa.gov""]",,,,,,False,False,EPA Login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmdpbatch1.epa.gov,epa.gov,.gov,,,,,,,,,,,Environmental Protection Agency,Environmental Protection Agency,Executive,,"[""pulse""]",False,2024-06-22T04:21:17.169Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wamweb11gprd.epa.gov,epa.gov,.gov,False,https://wamweb11gprd.epa.gov/,epa.gov,gov,wamweb11gprd.epa.gov,True,200.0,text/html,True,True,Environmental Protection Agency,Environmental Protection Agency,Executive,True,"[""pulse"",""omb_idea""]",False,2024-06-22T01:57:24.937Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,False,,False,,,0.0,,False,0.0970773489583333,107.799,,,True,True,U.S. EPA Web Server,,,,,,,,,,,,,False,False,False,https://wamweb11gprd.epa.gov/robots.txt,False,404.0,text/html,,,,False,False,https://wamweb11gprd.epa.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
rcrainfo.epa.gov,epa.gov,.gov,True,https://rcrainfo.epa.gov/rcrainfoprod/action/secured/login,epa.gov,gov,rcrainfo.epa.gov,True,200.0,text/html,True,True,Environmental Protection Agency,Environmental Protection Agency,Executive,True,"[""pulse"",""omb_idea"",""mil-sites2""]",False,2024-06-22T04:57:14.239Z,completed,completed,completed,completed,completed,completed,completed,completed,True,amazonaws.com,,,"[""\""password\"""","">Sign In<"",""type=\""password\""""]",False,,False,,"[""rcrainfo.atlassian.net"",""ys1btgj4yp0j.statuspage.io""]",2.0,"[""rcrainfo.epa.gov""]",True,0.0,473.0,"[""foia"",""privacy""]","[""foia""]",True,True,RCRAInfo Sign In,,,,,,,,,,,en,,False,False,False,https://rcrainfo.epa.gov/robots.txt,False,404.0,text/html,,,,False,False,https://rcrainfo.epa.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
netdmr.epa.gov,epa.gov,.gov,False,https://npdes-ereporting.epa.gov/net-netdmr,epa.gov,gov,npdes-ereporting.epa.gov,True,200.0,text/html,True,False,Environmental Protection Agency,Environmental Protection Agency,Executive,False,"[""dap"",""pulse""]",False,2024-06-22T02:18:39.152Z,completed,execution_context_destroyed,completed,completed,completed,completed,completed,completed,True,,,,"[""showpassword""]",False,,False,,"[""www.googletagmanager.com""]",1.0,"["".epa.gov"",""npdes-ereporting.epa.gov""]",True,0.051535421875,1543.799,"[""privacy""]","[""privacy policy""]",True,True,EPA NetDMR Streamlined Registration,,,,,,,,,,,en,,False,False,False,https://npdes-ereporting.epa.gov/net-netdmr,True,200.0,text/html,168.0,,,False,False,https://npdes-ereporting.epa.gov/net-netdmr,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
20watersheds.epa.gov,epa.gov,.gov,True,https://20watersheds.epa.gov/20watersheds/#v=map&b=dark-gray&x=-101.70&y=38.83&l=4&m=1&a=1&isv=TSS&lu=L1&cs=W1&mv=Deltas&sn=DJF&alias=home&iw=false,epa.gov,gov,20watersheds.epa.gov,True,200.0,text/html,True,True,Environmental Protection Agency,Environmental Protection Agency,Executive,True,"[""omb_idea"",""mil-sites2""]",False,2024-06-22T03:57:05.014Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,,,,,True,,False,,"[""epamap36.epa.gov"",""js.arcgis.com"",""s7.addthis.com"",""server.arcgisonline.com"",""services.arcgisonline.com"",""www.epa.gov"",""www.google-analytics.com""]",7.0,"["".epa.gov"",""20watersheds.epa.gov""]",True,0.0694781186523437,1622.799,"[""about"",""foia"",""inspector"",""privacy"",""usa.gov""]","[""accessibility"",""no fear act"",""foia"",""inspector general"",""usa.gov""]",,,20 Watersheds,,,,,,,,,,,,,False,False,True,https://20watersheds.epa.gov/20watersheds/robots.txt,False,404.0,text/html,,,,False,True,https://20watersheds.epa.gov/20watersheds/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
oasext.epa.gov,epa.gov,.gov,False,https://oasext.epa.gov/,epa.gov,gov,oasext.epa.gov,True,200.0,text/html,True,True,Environmental Protection Agency,Environmental Protection Agency,Executive,,"[""pulse"",""omb_idea""]",False,2024-06-22T02:19:07.934Z,completed,completed,completed,unknown_error,completed,completed,completed,completed,True,,,,,False,,True,"{""agency"":""EPA""}","[""dap.digitalgov.gov"",""script.crazyegg.com"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".epa.gov"","".oasext.epa.gov""]",False,0.0,116.899,,,True,True,U.S EPA Web Server,,,,,,,,,,,,,False,False,False,https://oasext.epa.gov/robots.txt,False,404.0,text/html,,,,False,False,https://oasext.epa.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
obiproduction.epa.gov,epa.gov,.gov,,,,,,,,,,,Environmental Protection Agency,Environmental Protection Agency,Executive,,"[""dap""]",False,2024-06-22T03:32:19.122Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
authhqproxy.epa.gov,epa.gov,.gov,,,,,,,,,,,Environmental Protection Agency,Environmental Protection Agency,Executive,,"[""pulse""]",False,2024-06-22T06:11:16.390Z,address_unreachable,address_unreachable,completed,unknown_error,address_unreachable,address_unreachable,completed,address_unreachable,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cobra.epa.gov,epa.gov,.gov,False,https://cobra.epa.gov/,epa.gov,gov,cobra.epa.gov,True,200.0,text/html,True,True,Environmental Protection Agency,Environmental Protection Agency,Executive,False,"[""dap"",""omb_idea"",""mil-sites2""]",False,2024-06-22T02:00:04.325Z,completed,timeout,completed,completed,completed,completed,completed,completed,True,cloud.gov,,,,True,,True,"{""agency"":""EPA""}","[""a.tile.openstreetmap.org"",""cobraapi.app.cloud.gov"",""dap.digitalgov.gov"",""script.crazyegg.com"",""www.epa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",7.0,"["".cobra.epa.gov"","".epa.gov""]",True,0.2462574114583333,442.7,"[""about"",""foia"",""inspector"",""privacy"",""usa.gov""]","[""accessibility"",""foia"",""usa.gov""]",True,True,COBRA Web Edition | CO-Benefits Risk Assessment (COBRA) Health Impacts Screening and Mapping Tool | US EPA,,"COBRA, clean energy, state and local governments, air quality, public health, benefit-cost ratio, air pollution, health benefits, mapping, diesel retrofit",,,,,,,,,en,,False,True,False,https://cobra.epa.gov/robots.txt,True,200.0,text/html,18878.0,,,True,False,https://cobra.epa.gov/sitemap.xml,True,200.0,text/html,18878.0,0.0,0.0,0.0,0.0,40.0,0.0,"[""usa-alert"",""usa-button"",""usa-fieldset"",""usa-form"",""usa-input"",""usa-label"",""usa-prose"",""usa-radio"",""usa-select"",""usa-table"",""usa-tag""]",45.0,0.0,20.0,2.10.0,100.0,205.0
ofmextwam.epa.gov,epa.gov,.gov,False,https://ofmextwam.epa.gov/,epa.gov,gov,ofmextwam.epa.gov,True,200.0,text/html,True,True,Environmental Protection Agency,Environmental Protection Agency,Executive,,"[""omb_idea""]",False,2024-06-22T03:58:03.657Z,completed,completed,completed,unknown_error,completed,completed,unknown_error,completed,True,,,,,False,,True,"{""agency"":""EPA""}","[""dap.digitalgov.gov"",""script.crazyegg.com"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".epa.gov"","".ofmextwam.epa.gov""]",False,0.0,97.799,,,,,U.S EPA Web Server,,,,,,,,,,,,,False,False,False,https://ofmextwam.epa.gov/robots.txt,False,404.0,text/html,,,,False,False,https://ofmextwam.epa.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
mostprobablenumbercalculator.epa.gov,epa.gov,.gov,True,https://mostprobablenumbercalculator.epa.gov/mpnForm,epa.gov,gov,mostprobablenumbercalculator.epa.gov,True,200.0,text/html,True,True,Environmental Protection Agency,Environmental Protection Agency,Executive,False,"[""dap"",""pulse"",""omb_idea"",""mil-sites2""]",False,2024-06-22T02:19:41.270Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,True,,True,"{""agency"":""EPA""}","[""dap.digitalgov.gov"",""script.crazyegg.com"",""www.epa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",5.0,"["".epa.gov"","".mostprobablenumbercalculator.epa.gov""]",True,0.2314466492919921,266.599,"[""about"",""foia"",""inspector"",""privacy"",""usa.gov""]","[""accessibility"",""foia"",""usa.gov""]",True,True,EPA MPN Calculator,,,,,,,,,,,en,,False,False,True,https://mostprobablenumbercalculator.epa.gov/index.html,True,200.0,text/html,,,,False,True,https://mostprobablenumbercalculator.epa.gov/index.html,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
nepis-lib2.rtnccad.epa.gov,epa.gov,.gov,,,,,,,,,,,Environmental Protection Agency,Environmental Protection Agency,Executive,,"[""pulse""]",False,2024-06-22T02:12:33.988Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wamssoprd.epa.gov,epa.gov,.gov,False,https://wamssoprd.epa.gov/,epa.gov,gov,wamssoprd.epa.gov,True,200.0,text/html,True,True,Environmental Protection Agency,Environmental Protection Agency,Executive,True,"[""dap"",""omb_idea""]",False,2024-06-22T04:00:07.272Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,False,,False,,,0.0,"["".epa.gov""]",False,0.0970773489583333,115.4,,,False,False,U.S. EPA Web Server,,,,,,,,,,,,,False,False,False,https://wamssoprd.epa.gov/robots.txt,False,404.0,text/html,,,,False,False,https://wamssoprd.epa.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
awsedap.epa.gov,epa.gov,.gov,True,https://awsedap.epa.gov/internal_forms_authentication/?targetId=be2903c6-1255-46b6-b52a-42d5b0a4347b,epa.gov,gov,awsedap.epa.gov,True,200.0,text/html,True,True,Environmental Protection Agency,Environmental Protection Agency,Executive,False,"[""dap"",""omb_idea""]",False,2024-06-22T01:56:40.702Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,"[""\""password\"""",""type=\""password\""""]",False,,False,,,0.0,,True,0.0,928.5,,,True,True,Qlik Sense login page,,,,,,,,,,,en,,False,False,False,https://awsedap.epa.gov/robots.txt,False,404.0,text/html,,,,False,False,https://awsedap.epa.gov/sitemap.xml,False,400.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
ttx.epa.gov,epa.gov,.gov,False,https://ttx.epa.gov/,epa.gov,gov,ttx.epa.gov,True,200.0,text/html,True,True,Environmental Protection Agency,Environmental Protection Agency,Executive,True,"[""omb_idea"",""mil-sites2""]",False,2024-06-22T04:00:41.785Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,False,,"[""fonts.googleapis.com"",""fonts.gstatic.com""]",2.0,"["".epa.gov""]",True,0.0230473958333333,1091.399,,,True,True,Home - Tabletop Exercise Tool for Drinking and Waste Water Utilities,,,,,,,,,,,,,False,False,False,https://ttx.epa.gov/robots.txt,False,404.0,text/html,,,,False,False,https://ttx.epa.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
www.frtr.gov,frtr.gov,.gov,False,https://www.frtr.gov/,frtr.gov,gov,www.frtr.gov,True,200.0,text/html,True,True,Environmental Protection Agency,Federal Remediation Roundtable,Executive,True,"[""gov"",""dap"",""2020_eot""]",False,2024-06-22T02:18:42.167Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,,,,,True,True,False,,"[""ajax.googleapis.com"",""fonts.googleapis.com"",""search.usa.gov"",""www.googletagmanager.com""]",4.0,,True,0.195258,298.099,"[""privacy"",""usa.gov""]",,,,Home | Federal Remediation Technologies Roundtable (FRTR),,,,,,,,,,,en,,True,True,False,https://www.frtr.gov/robots.txt,True,200.0,text/plain,31.0,,,False,False,https://www.frtr.gov/sitemap.xml,False,404.0,text/html,,,,20.0,0.0,0.0,0.0,"[""usa-accordion"",""usa-banner"",""usa-button"",""usa-col"",""usa-current"",""usa-footer"",""usa-header"",""usa-input"",""usa-layout-docs"",""usa-logo"",""usa-megamenu"",""usa-menu-btn"",""usa-nav"",""usa-nav-container"",""usa-navbar"",""usa-overlay"",""usa-prose"",""usa-search"",""usa-section"",""usa-sidenav"",""usa-skipnav"",""usa-sr-only""]",50.0,3.0,20.0,v2.2.1,100.0,193.0
rtp-piv-evdi-callback.epa.gov,epa.gov,.gov,,,,,,,,,,,Environmental Protection Agency,Environmental Protection Agency,Executive,,"[""pulse""]",False,2024-06-22T02:56:32.116Z,address_unreachable,address_unreachable,completed,unknown_error,address_unreachable,address_unreachable,completed,address_unreachable,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.glnpo.gov,glnpo.gov,.gov,,,,,,,,,,,Environmental Protection Agency,"US EPA, Great Lakes National Program Office",Executive,,"[""gov""]",False,2024-06-22T02:18:37.644Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,unknown_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fishadvisoryonline.epa.gov,epa.gov,.gov,False,https://fishadvisoryonline.epa.gov/,epa.gov,gov,fishadvisoryonline.epa.gov,True,200.0,text/html,True,True,Environmental Protection Agency,Environmental Protection Agency,Executive,True,"[""dap"",""pulse"",""omb_idea"",""mil-sites2""]",False,2024-06-22T02:59:00.105Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,False,,True,"{""agency"":""EPA""}","[""dap.digitalgov.gov"",""script.crazyegg.com"",""www.epa.gov"",""www.google-analytics.com"",""www.googletagmanager.com"",""www3.epa.gov""]",6.0,"["".epa.gov"","".fishadvisoryonline.epa.gov"",""fishadvisoryonline.epa.gov""]",True,0.057905091796875,268.2,"[""about""]",,True,True,EPA - NLFA,,,,,,,,,,,,,False,False,False,https://fishadvisoryonline.epa.gov/robots.txt,False,404.0,text/html,,,,False,False,https://fishadvisoryonline.epa.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
ccte-ccd.epa.gov,epa.gov,.gov,,,,,,,,,,,Environmental Protection Agency,Environmental Protection Agency,Executive,,"[""dap""]",False,2024-06-22T01:56:25.129Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oaspub.epa.gov,epa.gov,.gov,False,https://oaspub.epa.gov/,epa.gov,gov,oaspub.epa.gov,True,200.0,text/html,True,True,Environmental Protection Agency,Environmental Protection Agency,Executive,True,"[""dap"",""pulse"",""omb_idea"",""mil-sites2""]",False,2024-06-22T02:21:10.310Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,False,,True,"{""agency"":""EPA""}","[""dap.digitalgov.gov"",""script.crazyegg.com"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".epa.gov"","".oaspub.epa.gov""]",False,0.0,102.3,,,True,True,U.S EPA Web Server,,,,,,,,,,,,,False,False,False,https://oaspub.epa.gov/robots.txt,False,404.0,text/html,,,,False,False,https://oaspub.epa.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
cmdpapp1.rtnccad.epa.gov,epa.gov,.gov,,,,,,,,,,,Environmental Protection Agency,Environmental Protection Agency,Executive,,"[""pulse""]",False,2024-06-22T04:24:21.118Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airnow.gov,airnow.gov,.gov,False,https://airnow.gov/,airnow.gov,gov,airnow.gov,True,200.0,text/html,True,True,Environmental Protection Agency,Environmental Protection Agency,Executive,True,"[""gov"",""pulse"",""omb_idea"",""gov_man"",""mil-sites2""]",False,2024-06-22T02:47:41.311Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,False,,False,,,0.0,,False,0.0,92.2,,,True,True,Use www.AirNow.gov,,,,,,,,,,,,,False,False,False,https://airnow.gov/robots.txt,False,404.0,text/html,,,,False,False,https://airnow.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
lew.epa.gov,epa.gov,.gov,,,,,,,,,,,Environmental Protection Agency,Environmental Protection Agency,Executive,True,"[""dap"",""pulse"",""omb_idea"",""mil-sites2""]",False,2024-06-22T02:18:04.888Z,timeout,completed,completed,completed,timeout,completed,completed,completed,True,cloud.gov,,,,,,,,,,"["".epa.gov"","".lew.epa.gov""]",,,,,,True,True,Rainfall Erosivity Factor Calculator | US EPA,The Rainfall Erosivity Factor Calculator can be used to help determine if your small construction site qualifies for stormwater discharge waivers.,,,,,,,,,,,,,False,False,https://lew.epa.gov/robots.txt,False,404.0,text/html,10269.0,,,False,False,https://lew.epa.gov/sitemap.xml,False,404.0,text/html,10269.0,0.0,0.0,,,,,,,,,,,
workshopplanner.epa.gov,epa.gov,.gov,,,,,,,,,,,Environmental Protection Agency,Environmental Protection Agency,Executive,,"[""pulse""]",False,2024-06-22T03:44:19.312Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sustainability.gov,sustainability.gov,.gov,True,https://www.sustainability.gov/,sustainability.gov,gov,www.sustainability.gov,True,200.0,text/html,True,False,Environmental Protection Agency,Office of Federal Sustainability,Executive,False,"[""gov"",""pulse"",""omb_idea"",""mil-sites2""]",False,2024-06-22T06:50:45.164Z,completed,completed,completed,completed,completed,completed,completed,completed,False,awsglobalaccelerator.com,,,,True,,True,"{""agency"":""EPA""}","[""ajax.googleapis.com"",""cdnjs.cloudflare.com"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""listgrowth.ctctcdn.com"",""platform.twitter.com"",""script.crazyegg.com"",""static.ctctcdn.com"",""syndication.twitter.com"",""www.google-analytics.com"",""www.google.com"",""www.googletagmanager.com"",""www.gstatic.com""]",14.0,"["".sustainability.gov""]",True,0.02490524609375,245.1,"[""about"",""privacy""]",,True,True,Office of the Federal Chief Sustainability Officer,The Office of Federal Sustainability coordinates policy to promote energy and environmental sustainability across Federal Government operations.,,,,,,,,,,en-gb,,False,True,True,https://www.sustainability.gov/robots.txt,True,200.0,text/plain,180.0,10.0,,False,True,https://www.sustainability.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
cdxnode64.epa.gov,epa.gov,.gov,,,,,,,,,,,Environmental Protection Agency,Environmental Protection Agency,Executive,,"[""pulse""]",False,2024-06-22T01:59:09.193Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
