target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_urls,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
www.labor.gov,labor.gov,.gov,,,,,,,,,,,Department of Labor,Office of the Chief Information Officer,Executive,,"[""gov""]",,2024-12-10T03:53:07.331Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,unknown_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
columbiabasin.jobcorps.gov,jobcorps.gov,.gov,False,https://columbiabasin.jobcorps.gov/,jobcorps.gov,gov,columbiabasin.jobcorps.gov,False,403.0,text/html,True,True,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,Executive,False,"[""dap"",""pulse"",""omb_idea""]",True,2024-12-10T03:43:37.263Z,completed,unknown_error,completed,completed,completed,completed,completed,completed,True,cloudfront.net,,,,False,,False,,,,,,0.0,"["".jobcorps.gov""]",False,0.0,50.69999980926514,,,True,True,ERROR: The request could not be satisfied,,,,,,,,,,,,,False,False,False,https://columbiabasin.jobcorps.gov/robots.txt,False,403.0,text/html,2027.0,,,False,False,https://columbiabasin.jobcorps.gov/sitemap.xml,False,403.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
downloadt.bls.gov,bls.gov,.gov,False,https://downloadt.bls.gov/,bls.gov,gov,downloadt.bls.gov,True,200.0,text/html,True,True,Department of Labor,Bureau of Labor Statistics,Executive,True,"[""pulse"",""omb_idea""]",False,2024-12-10T08:02:38.743Z,completed,completed,completed,completed,completed,unknown_error,completed,unknown_error,False,,,,,False,,False,,,,,,0.0,,False,0.0,103.79999995231628,,,True,True,downloadt.bls.gov - /,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
respondentst.bls.gov,bls.gov,.gov,True,https://respondentst.bls.gov/upload,bls.gov,gov,respondentst.bls.gov,True,200.0,text/html,True,True,Department of Labor,Bureau of Labor Statistics,Executive,False,"[""dap"",""omb_idea""]",False,2024-12-10T04:58:21.485Z,completed,completed,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,False,,True,"{""agency"":""DOL"",""subagency"":""BLS"",""yt"":""true""}",20240711 v8.4 - GA4,G-CSLL4ZEK4L,"[""dap.digitalgov.gov"",""remote.captcha.com"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.youtube.com""]","[""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://remote.captcha.com/include.js"",""https://www.google-analytics.com/g/collect"",""https://www.googletagmanager.com/gtag/js"",""https://www.youtube.com/iframe_api"",""https://www.youtube.com/s/player/3bb1f723/www-widgetapi.vflset/www-widgetapi.js""]",5.0,"["".bls.gov"",""respondentst.bls.gov""]",True,5.20833333333e-05,723.3999998569489,"[""privacy""]","[""privacy policy""]",True,True,IDCF Respondent - Login Page,,,,,,,,,,,en,,False,False,True,https://respondentst.bls.gov/authentication/login,True,200.0,text/html,,,,False,True,https://respondentst.bls.gov/authentication/login,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,2.0,20.0,v2.4.0,100.0,122.0
search.osha.gov,osha.gov,.gov,False,https://search.osha.gov/,osha.gov,gov,search.osha.gov,True,200.0,text/html,True,True,Department of Labor,Office of the Chief Information Officer,Executive,False,"[""dap"",""pulse"",""omb_idea""]",False,2024-12-10T00:42:38.603Z,completed,completed,completed,completed,completed,completed,completed,completed,True,amazonaws.com,,login.gov,,False,,False,,,,"[""d15vqlr7iz6e8x.cloudfront.net"",""fonts.googleapis.com"",""fonts.gstatic.com"",""gov-bam.nr-data.net"",""js-agent.newrelic.com""]","[""https://d15vqlr7iz6e8x.cloudfront.net/assets/application-67660eb7f7db0b6fc30bc846b96d5803c561396ee4d0685501dc545e4e138ab1.js"",""https://d15vqlr7iz6e8x.cloudfront.net/assets/application-f64de8f494986a702a1c637d6efbe260e1e92ab804c592e91e6ca5125a9b5966.css"",""https://d15vqlr7iz6e8x.cloudfront.net/assets/application_ie_lte9-1e4c5f2645d5eaee99d494cf34ac3819f6e6887321124d12e972e8b1426acb46.css"",""https://d15vqlr7iz6e8x.cloudfront.net/assets/sites/gsa-logo-7802b3eef826c814a92f23d6d6e8d67dc199ff7f9227d53fd7fa7f531a8fca3e.svg"",""https://d15vqlr7iz6e8x.cloudfront.net/assets/uswds-8cf2f09817507b180e2c6a218931f25990ed5b6af84117405ec5d5f6c6536982.js"",""https://d15vqlr7iz6e8x.cloudfront.net/assets/uswds-f7cf6f0767aa358dbccf4e2e01132019ff72b8885d4fd81ebb3d2d82af2d1656.css"",""https://d15vqlr7iz6e8x.cloudfront.net/assets/uswds/icon-dot-gov-dc35dbc375d9d95d42254dc7c0eca9c9c8de6894d00642f50dfb0a1c45de139d.svg"",""https://d15vqlr7iz6e8x.cloudfront.net/assets/uswds/icon-https-f04093b07cff25d1c8fc5e8b3efd867fbb4e3e0575f6cd8cc52eb7486a49c117.svg"",""https://d15vqlr7iz6e8x.cloudfront.net/assets/uswds/us_flag_small-15e1db34e7bb6239a38b012a2165a549b4283666aa075114f5568b5c601cc1bb.png"",""https://d15vqlr7iz6e8x.cloudfront.net/assets/uswds/usa-icons/expand_more-71a0a353609bb243c7f21eab8ac8fb8dbd1c57e15606fa4d94e2846f99abc810.svg"",""https://d15vqlr7iz6e8x.cloudfront.net/assets/uswds_override-e4adf0d2bdc38cb967f8f0944e0ca48403e062f90392dc7b2af06b015475a2d4.css"",""https://fonts.googleapis.com/css"",""https://fonts.gstatic.com/s/mavenpro/v36/7Au9p_AqnyWWAxW2Wk3GzWQIElsO0w.woff2"",""https://gov-bam.nr-data.net/1/NRBR-cca8466f9fe4089c1e1"",""https://js-agent.newrelic.com/nr-full-1.275.0.min.js""]",5.0,"[""search.osha.gov""]",False,0.0116241666666666,213.79999995231628,"[""about"",""foia"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""foia"",""privacy policy"",""usa.gov""]",True,True,Search.gov Login,,,,,,,,,,,en-US,,False,False,True,https://www.usa.gov/search-error,True,200.0,text/html,65.0,,,False,True,https://www.usa.gov/search-error,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,"[""usa-accordion"",""usa-banner"",""usa-footer"",""usa-identifier"",""usa-link"",""usa-list""]",True,45.0,6.0,20.0,,0.0,71.0
dayton.jobcorps.gov,jobcorps.gov,.gov,False,https://dayton.jobcorps.gov/,jobcorps.gov,gov,dayton.jobcorps.gov,True,200.0,text/html,True,True,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,Executive,True,"[""dap"",""pulse"",""omb_idea""]",True,2024-12-10T08:24:47.127Z,completed,unknown_error,completed,completed,completed,completed,completed,completed,True,cloudfront.net,Drupal,,,False,,True,"{""agency"":""DOL"",""subagency"":""ETA"",""yt"":""true""}",20240711 v8.4 - GA4,"G-5SSPYG6GYM,G-SCE8NXM7VD,G-CSLL4ZEK4L","[""api.hubapi.com"",""api.userway.org"",""assets.pinterest.com"",""c.bing.com"",""c.clarity.ms"",""cdn.chatbot.com"",""cdn.userway.org"",""cdnjs.cloudflare.com"",""connect.facebook.net"",""cta-service-cms2.hubspot.com"",""d.clarity.ms"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""forms.hscollectedforms.net"",""googleads.g.doubleclick.net"",""jobcorps-gov.s3.us-west-2.amazonaws.com"",""js.adsrvr.org"",""js.hs-analytics.net"",""js.hs-banner.com"",""js.hs-scripts.com"",""js.hsadspixel.net"",""js.hscollectedforms.net"",""js.hubspot.com"",""log.pinterest.com"",""maps.googleapis.com"",""perf-na1.hsforms.com"",""platform.twitter.com"",""stackpath.bootstrapcdn.com"",""syndication.twitter.com"",""track.hubspot.com"",""www.clarity.ms"",""www.facebook.com"",""www.google.com"",""www.googletagmanager.com"",""www.virtually-anywhere.net"",""www.youtube.com""]","[""https://api.hubapi.com/hs-script-loader-public/v1/config/pixels-and-events/json"",""https://api.userway.org/api/tunings/Zg78mkkmfb"",""https://assets.pinterest.com/js/pinit.js"",""https://assets.pinterest.com/js/pinit_main.js"",""https://c.bing.com/c.gif"",""https://c.clarity.ms/c.gif"",""https://cdn.chatbot.com/widget/60f5b314f1e7830007a07710/settings.json"",""https://cdn.chatbot.com/widget/plugin.js"",""https://cdn.chatbot.com/widget/polyfill.js"",""https://cdn.chatbot.com/widget/v2/chat.f254bb0d207c1616b03c.css"",""https://cdn.chatbot.com/widget/v2/chat.js"",""https://cdn.chatbot.com/widget/v2/fonts/source-sans-pro-v14-latin-ext_latin-regular.c223f6a7fb3cfc96b4e1.woff2"",""https://cdn.chatbot.com/widget/v2/plugin.js"",""https://cdn.userway.org/remediation/2024-12-06-10-11-05/free/remediation-tool-free.js"",""https://cdn.userway.org/styles/2024-12-06-10-11-05/widget_base.css"",""https://cdn.userway.org/widget.js"",""https://cdn.userway.org/widgetapp/2024-12-06-10-11-05/widget_app_base_1733479865315.js"",""https://cdn.userway.org/widgetapp/images/body_wh.svg"",""https://cdn.userway.org/widgetapp/images/spin_wh.svg"",""https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css"",""https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.3/umd/popper.min.js"",""https://connect.facebook.net/en_US/fbevents.js"",""https://connect.facebook.net/en_US/sdk.js"",""https://connect.facebook.net/signals/config/1024484794254845"",""https://connect.facebook.net/signals/config/179322895854670"",""https://connect.facebook.net/signals/config/222063384801310"",""https://connect.facebook.net/signals/config/2638536143047435"",""https://cta-service-cms2.hubspot.com/web-interactives/public/v1/embed/combinedConfigs"",""https://d.clarity.ms/collect"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://fonts.googleapis.com/css2"",""https://fonts.gstatic.com/s/mulish/v13/1Ptvg83HX_SGhgqk3wotYKNnBQ.woff2"",""https://forms.hscollectedforms.net/collected-forms/v1/config/json"",""https://js.hsadspixel.net/fb.js""]",37.0,"["".jobcorps.gov""]",True,0.0069202486979166,398.09999990463257,"[""foia"",""privacy"",""usa.gov"",""/es""]","[""accessibility"",""no fear act"",""freedom of information act"",""inspector general"",""privacy policy"",""usa.gov"",""español""]",True,True,Job Corps | Dayton,Find your ideal career path with free training in a number of fields at the Dayton Job Corps Center,,,,,,,,,http://dayton.jobcorps.gov/,en,,False,True,False,https://dayton.jobcorps.gov/robots.txt,True,200.0,text/plain,2027.0,,,False,False,https://dayton.jobcorps.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
sacramento.jobcorps.gov,jobcorps.gov,.gov,False,https://sacramento.jobcorps.gov/,jobcorps.gov,gov,sacramento.jobcorps.gov,False,403.0,text/html,True,True,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,Executive,False,"[""dap"",""pulse"",""omb_idea""]",True,2024-12-10T07:03:18.819Z,completed,completed,completed,completed,completed,completed,completed,completed,True,cloudfront.net,,,,False,,False,,,,,,0.0,,False,0.0,42.59999990463257,,,True,True,ERROR: The request could not be satisfied,,,,,,,,,,,,,False,False,False,https://sacramento.jobcorps.gov/robots.txt,False,403.0,text/html,2027.0,,,False,False,https://sacramento.jobcorps.gov/sitemap.xml,False,403.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
sparq.doleta.gov,doleta.gov,.gov,,,,,,,,,,,Department of Labor,Office of the Chief Information Officer,Executive,,"[""pulse"",""omb_idea""]",False,2024-12-10T01:17:38.983Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,"["".doe.gov"","".dol.gov"","".jgi.doe.gov"",""devra.kcnsc.doe.gov"",""issues.jgi.doe.gov"",""proposals.jgi.doe.gov"",""secure-west.netl.doe.gov"",""signon.jgi.doe.gov"",""soars.lm.doe.gov""]",,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debstfs.dol.gov,dol.gov,.gov,,,,,,,,,,,Department of Labor,Office of the Chief Information Officer,Executive,,"[""pulse""]",,2024-12-10T07:04:09.014Z,timeout,timeout,completed,timeout,timeout,timeout,completed,timeout,False,,,,,,,,,,,,,,"["".adnxs.com"","".americorps.gov"","".barclayncsrs.ecfr.gov"","".bat.bing.com"","".bing.com"","".blog.marinedebris.noaa.gov"","".bluekai.com"","".c.bing.com"","".c.clarity.ms"","".cap.gov"","".clarity.ms"","".cms.gov"","".crwdcntrl.net"","".demdex.net"","".department.va.gov"","".dol.gov"","".doubleclick.net"","".dpm.demdex.net"","".dsac.gov"","".ecfr.gov"","".edit.usembassy.gov"","".engage.youth.gov"","".everesttech.net"","".exelator.com"","".glovis-cloud.usgs.gov"","".ip247-ns1.ecfr.gov"","".la.usembassy.gov"","".lijit.com"","".linkedin.com"","".media.usajobs.gov"","".naddb02.cr.usgs.gov"","".natwebsdas01.cr.usgs.gov"","".navsea.usajobs.gov"","".nhouseofbuttons1.ecfr.gov"","".nih.gov"","".noaa.gov"","".openx.net"","".papahanaumokuakea.gov"","".pinterest.com"","".pre.usembassy.gov"","".ptsd.va.gov"","".pubmatic.com"","".qa.coast.noaa.gov"","".rlcdn.com"","".seattle.eric.research.va.gov"","".sharethis.com"","".sharethrough.com"","".sitescout.com"","".stac.astrogeology.usgs.gov"","".tapad.com"","".teads.tv"","".treasurydirect.gov"","".usajobs.gov"","".usembassy.gov"","".usgs.gov"","".uspis.gov"","".va.gov"","".vacunas.gov"","".virec.research.va.gov"","".waterdata.usgs.gov"","".wlci.gov"","".www.linkedin.com"","".www.usajobs.gov"","".wwwhvo.wr.usgs.gov"","".youth.gov"","".youtube.com"",""afghanistan.cr.usgs.gov"",""cdn.eo.va.gov"",""debstfs.dol.gov"",""engage.youth.gov"",""everify.uscis.gov"",""idp.uscis.gov"",""ims.cr.usgs.gov"",""lgy.va.gov"",""lovell.fhcc.va.gov"",""lustre.ornl.gov"",""nebraska.va.gov"",""northerncalifornia.va.gov"",""pr.waterdata.usgs.gov"",""ptsd.va.gov"",""resource.digital.voice.va.gov"",""seattle.eric.research.va.gov"",""state.okta.com"",""support.ntsb.gov"",""treasurydirect.gov"",""vacunas.gov"",""veteransgoldenagegames.va.gov"",""virec.research.va.gov"",""wallawalla.va.gov"",""waterdata.usgs.gov"",""www.americorps.gov"",""www.clarity.ms"",""www.cms.gov"",""www.dsac.gov"",""www.oit.va.gov"",""www.usgs.gov"",""www.uspis.gov"",""www.va.gov"",""www.vacunas.gov""]",,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cqsweb.dol-esa.gov,dol-esa.gov,.gov,,,,,,,,,,,Department of Labor,Office of the Chief Information Officer,Executive,,"[""pulse""]",,2024-12-10T06:59:55.032Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmptst2.dol.gov,dol.gov,.gov,True,https://cmptst2.dol.gov/suite/,dol.gov,gov,cmptst2.dol.gov,False,403.0,text/html,True,True,Department of Labor,Office of the Chief Information Officer,Executive,False,"[""pulse""]",,2024-12-10T03:09:07.257Z,completed,completed,completed,completed,completed,completed,completed,completed,True,amazonaws.com,,,,False,,False,,,,,,0.0,,False,0.0,156.90000009536743,,,True,False,Error 403 - Forbidden,,,,,,,,,,,,,False,False,False,https://cmptst2.dol.gov/robots.txt,False,403.0,text/html,,,,False,False,https://cmptst2.dol.gov/sitemap.xml,False,403.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
whitneymyoung.jobcorps.gov,jobcorps.gov,.gov,False,https://whitneymyoung.jobcorps.gov/,jobcorps.gov,gov,whitneymyoung.jobcorps.gov,True,200.0,text/html,True,True,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,Executive,True,"[""dap"",""pulse"",""omb_idea""]",True,2024-12-10T04:04:46.354Z,completed,unknown_error,completed,completed,completed,completed,completed,completed,True,cloudfront.net,Drupal,,,False,,True,"{""agency"":""DOL"",""subagency"":""ETA"",""yt"":""true""}",20240711 v8.4 - GA4,"G-SCE8NXM7VD,G-5SSPYG6GYM,G-CSLL4ZEK4L","[""api.hubapi.com"",""api.userway.org"",""assets.pinterest.com"",""c.bing.com"",""c.clarity.ms"",""cdn.chatbot.com"",""cdn.userway.org"",""cdnjs.cloudflare.com"",""connect.facebook.net"",""cta-service-cms2.hubspot.com"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""forms.hscollectedforms.net"",""googleads.g.doubleclick.net"",""jobcorps-gov.s3.us-west-2.amazonaws.com"",""js.adsrvr.org"",""js.hs-analytics.net"",""js.hs-banner.com"",""js.hs-scripts.com"",""js.hsadspixel.net"",""js.hscollectedforms.net"",""js.hubspot.com"",""log.pinterest.com"",""maps.googleapis.com"",""perf-na1.hsforms.com"",""platform.twitter.com"",""s.clarity.ms"",""stackpath.bootstrapcdn.com"",""syndication.twitter.com"",""track.hubspot.com"",""www.clarity.ms"",""www.facebook.com"",""www.google.com"",""www.googletagmanager.com"",""www.virtually-anywhere.net"",""www.youtube.com""]","[""https://api.hubapi.com/hs-script-loader-public/v1/config/pixels-and-events/json"",""https://api.userway.org/api/tunings/Zg78mkkmfb"",""https://assets.pinterest.com/js/pinit.js"",""https://assets.pinterest.com/js/pinit_main.js"",""https://c.bing.com/c.gif"",""https://c.clarity.ms/c.gif"",""https://cdn.chatbot.com/widget/60f5b314f1e7830007a07710/settings.json"",""https://cdn.chatbot.com/widget/plugin.js"",""https://cdn.chatbot.com/widget/polyfill.js"",""https://cdn.chatbot.com/widget/v2/chat.f254bb0d207c1616b03c.css"",""https://cdn.chatbot.com/widget/v2/chat.js"",""https://cdn.chatbot.com/widget/v2/fonts/source-sans-pro-v14-latin-ext_latin-regular.c223f6a7fb3cfc96b4e1.woff2"",""https://cdn.chatbot.com/widget/v2/plugin.js"",""https://cdn.userway.org/remediation/2024-12-06-10-11-05/free/remediation-tool-free.js"",""https://cdn.userway.org/styles/2024-12-06-10-11-05/widget_base.css"",""https://cdn.userway.org/widget.js"",""https://cdn.userway.org/widgetapp/2024-12-06-10-11-05/widget_app_base_1733479865315.js"",""https://cdn.userway.org/widgetapp/images/body_wh.svg"",""https://cdn.userway.org/widgetapp/images/spin_wh.svg"",""https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css"",""https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.3/umd/popper.min.js"",""https://connect.facebook.net/en_US/fbevents.js"",""https://connect.facebook.net/en_US/sdk.js"",""https://connect.facebook.net/signals/config/1024484794254845"",""https://connect.facebook.net/signals/config/179322895854670"",""https://connect.facebook.net/signals/config/222063384801310"",""https://connect.facebook.net/signals/config/2638536143047435"",""https://cta-service-cms2.hubspot.com/web-interactives/public/v1/embed/combinedConfigs"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://fonts.googleapis.com/css2"",""https://fonts.gstatic.com/s/mulish/v13/1Ptvg83HX_SGhgqk3wotYKNnBQ.woff2"",""https://forms.hscollectedforms.net/collected-forms/v1/config/json"",""https://js.adsrvr.org/up_loader.1.1.0.js""]",37.0,"["".jobcorps.gov""]",True,0.003594154296875,308.90000009536743,"[""foia"",""privacy"",""usa.gov"",""/es""]","[""accessibility"",""no fear act"",""freedom of information act"",""inspector general"",""privacy policy"",""usa.gov"",""español""]",True,True,Job Corps | Whitney Young,Find your ideal career path with free training in a number of fields at the Whitney Young Job Corps Center,,,,,,,,,http://whitneymyoung.jobcorps.gov/,en,,False,True,False,https://whitneymyoung.jobcorps.gov/robots.txt,True,200.0,text/plain,2027.0,,,False,False,https://whitneymyoung.jobcorps.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
www.osha.gov,osha.gov,.gov,False,https://www.osha.gov/,osha.gov,gov,www.osha.gov,True,200.0,text/html,True,True,Department of Labor,Office of the Chief Information Officer,Executive,False,"[""gov"",""dap"",""2020_eot"",""usagov"",""gov_man"",""oira""]",,2024-12-10T02:18:51.482Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,Drupal,login.gov,,True,,True,"{""agency"":""DOL"",""subagency"":""OSHA"",""pga4"":""G-THXLXTHVBH""}",20240711 v8.4 - GA4,"G-THXLXTHVBH,G-CSLL4ZEK4L","[""cdn.jsdelivr.net"",""cdnjs.cloudflare.com"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""gov1.siteintercept.qualtrics.com"",""maxcdn.bootstrapcdn.com"",""stackpath.bootstrapcdn.com"",""translate-pa.googleapis.com"",""translate.google.com"",""translate.googleapis.com"",""www.googletagmanager.com"",""www.gstatic.com"",""znem8vlxtk6ksms18-usdol.gov1.siteintercept.qualtrics.com""]","[""https://cdn.jsdelivr.net/npm/jquery.marquee@1.6.0/jquery.marquee.min.js"",""https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/brands.min.css"",""https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/fontawesome.min.css"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://fonts.googleapis.com/css"",""https://fonts.gstatic.com/s/i/productlogos/translate/v14/24px.svg"",""https://fonts.gstatic.com/s/merriweather/v30/u-4n0qyriQwlOrhSvowK_l52xwNZWMf6hPvhPQ.woff2"",""https://fonts.gstatic.com/s/sourcesanspro/v22/6xK3dSBYKcSV-LCoeQqfX1RYOo3qOK7lujVj9w.woff2"",""https://fonts.gstatic.com/s/sourcesanspro/v22/6xKydSBYKcSV-LCoeQqfX1RYOo3ig4vwlxdu3cOWxw.woff2"",""https://gov1.siteintercept.qualtrics.com/WRSiteInterceptEngine/"",""https://gov1.siteintercept.qualtrics.com/WRSiteInterceptEngine/Asset.php"",""https://gov1.siteintercept.qualtrics.com/WRSiteInterceptEngine/Targeting.php"",""https://gov1.siteintercept.qualtrics.com/dxjsmodule/1.9297c6eae70d54f5d321.chunk.js"",""https://gov1.siteintercept.qualtrics.com/dxjsmodule/5.df609afbbc724688dc90.chunk.js"",""https://gov1.siteintercept.qualtrics.com/dxjsmodule/8.29a12639f19bc166d5bc.chunk.js"",""https://gov1.siteintercept.qualtrics.com/dxjsmodule/CoreModule.js"",""https://gov1.siteintercept.qualtrics.com/dxjsmodule/FeedbackButtonModule.js"",""https://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css"",""https://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/fonts/fontawesome-webfont.woff2"",""https://stackpath.bootstrapcdn.com/bootstrap/3.4.1/css/bootstrap.min.css"",""https://stackpath.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js"",""https://translate-pa.googleapis.com/v1/supportedLanguages"",""https://translate.google.com/translate_a/element.js"",""https://translate.googleapis.com/_/translate_http/_/js/k=translate_http.tr.en_US.KNTRWfMnI_M.O/am=ACA/d=1/exm=el_conf/ed=1/rs=AN8SPfqzvsW2KLEj6yi5uUTl6GNx6SZwyw/m=el_main"",""https://www.googletagmanager.com/gtag/js""]",14.0,"["".osha.gov""]",True,0.0629476551920572,411.89999985694885,"[""about"",""foia"",""privacy"",""usa.gov"",""/es""]","[""accessibility"",""no fear act"",""foia"",""freedom of information act"",""inspector general"",""usa.gov"",""español"",""spanish""]",,,Home | OSHA.gov | Occupational Safety and Health Administration,,,,,,,,,,http://www.osha.gov/,en,,False,True,False,https://www.osha.gov/robots.txt,True,200.0,text/plain,268.0,3.0,"[""https://www.osha.gov/sites/default/files/sitemap-index.xml""]",True,False,https://www.osha.gov/sitemap.xml,True,200.0,text/xml,33648.0,161.0,60.0,20.0,0.0,0.0,12.0,"[""usa-accordion"",""usa-banner"",""usa-button"",""usa-button-primary"",""usa-grid-full"",""usa-menu-btn"",""usa-sr-only"",""usa-width-one-half""]",True,45.0,3.0,20.0,,0.0,100.0
